CCTV1,udp://225.1.1.212:5002?$TJ
CCTV1[5.1环绕声],udp://225.1.1.120:5002?$TJ
CCTV2[5.1环绕声],udp://225.1.1.133:5002?$TJ
CCTV3[5.1环绕声],udp://225.1.1.158:5002?$TJ
CCTV4[5.1环绕声],udp://225.1.1.150:5002?$TJ
CCTV5+[5.1环绕声],udp://225.1.1.121:5002?$TJ
CCTV5[5.1环绕声],udp://225.1.1.160:5002?$TJ
CCTV6[5.1环绕声],udp://225.1.1.195:5002?$TJ
CCTV7[5.1环绕声],udp://225.1.1.138:5002?$TJ
CCTV8[5.1环绕声],udp://225.1.1.196:5002?$TJ
CCTV9[5.1环绕声],udp://225.1.1.119:5002?$TJ
CCTV10[5.1环绕声],udp://225.1.1.140:5002?$TJ
CCTV11,udp://225.1.2.192:5002?$TJ
CCTV12[5.1环绕声],udp://225.1.1.142:5002?$TJ
CCTV13[5.1环绕声],udp://225.1.2.193:5002?$TJ
CCTV14[5.1环绕声],udp://225.1.1.144:5002?$TJ
CCTV15,udp://225.1.2.194:5002?$TJ
CCTV16[5.1环绕声],udp://225.1.2.237:5002?$TJ
CCTV17[5.1环绕声],udp://225.1.2.52:5002?$TJ
兵器科技,udp://225.1.2.166:5002?$TJ
地理世界,udp://225.1.2.171:5002?$TJ
女性时尚,udp://225.1.2.172:5002?$TJ
文化精品,udp://225.1.2.177:5002?$TJ
风云足球,udp://225.1.2.168:5002?$TJ
风云音乐,udp://225.1.2.176:5002?$TJ
CHC动作电影,udp://225.1.1.215:5002?$TJ
CHC家庭影院,udp://225.1.1.213:5002?$TJ
CHC影迷电影,udp://225.1.1.214:5002?$TJ
湖北卫视,udp://225.1.1.147:5002?$TJ
湖南卫视,udp://225.1.1.114:5002?$TJ
上海卫视,udp://225.1.2.31:5002?$TJ
北京卫视,udp://225.1.1.113:5002?$TJ
四川卫视,udp://225.1.1.123:5002?$TJ
安徽卫视,udp://225.1.1.127:5002?$TJ
广东卫视,udp://225.1.1.116:5002?$TJ
广西卫视,udp://225.1.2.81:5002?$TJ
江苏卫视,udp://225.1.1.126:5002?$TJ
江西卫视,udp://225.1.2.29:5002?$TJ
河北卫视,udp://225.1.2.27:5002?$TJ
河南卫视,udp://225.1.2.61:5002?$TJ
浙江卫视,udp://225.1.1.112:5002?$TJ
海南卫视,udp://225.1.2.82:5002?$TJ
深圳卫视,udp://225.1.1.117:5002?$TJ
贵州卫视,udp://225.1.2.28:5002?$TJ
辽宁卫视,udp://225.1.1.154:5002?$TJ
黑龙江卫视,udp://225.1.1.115:5002?$TJ
重庆卫视,udp://225.1.1.155:5002?$TJ
欢笑剧场,udp://225.1.1.139:5002?$TJ
欢笑剧场4K,udp://225.1.1.152:5002?$TJ
搜狐4K,udp://225.1.2.190:5002?$TJ
第一剧场,udp://225.1.2.175:5002?$TJ
精彩影视,udp://225.1.1.141:5002?$TJ
风云剧场,udp://225.1.2.174:5002?$TJ
都市剧场,udp://225.1.1.146:5002?$TJ
东方财经,udp://225.1.1.247:5002?$TJ
中华美食,udp://225.1.1.77:5002?$TJ
动漫秀场,udp://225.1.1.134:5002?$TJ
天津IPTV,udp://225.1.1.108:5002?$TJ
天津IPTV,udp://225.1.1.132:5002?$TJ
天津体育,udp://225.1.1.122:5002?$TJ
天津卫视,udp://225.1.1.111:5002?$TJ
天津影视,udp://225.1.1.149:5002?$TJ
天津教育,udp://225.1.1.129:5002?$TJ
天津文艺,udp://225.1.1.131:5002?$TJ
天津新闻,udp://225.1.1.130:5002?$TJ
天津都市,udp://225.1.1.128:5002?$TJ
怀旧剧场,udp://225.1.2.173:5002?$TJ
文物宝库,udp://225.1.2.105:5002?$TJ
梨园频道,udp://225.1.2.104:5002?$TJ
甘肃卫视,udp://225.1.1.159:5002?$TJ
茶频道,udp://225.1.2.19:5002?$TJ
