广西综艺,rtp://239.81.0.214:4056
广西影视,rtp://239.81.0.250:4056
广西新闻,rtp://239.81.0.248:4056
广西公共,rtp://239.81.0.249:4056
广西都市,rtp://239.81.0.247:4056
广西国际,rtp://239.81.0.8:4056
广西科教,rtp://239.81.0.11:4056
南宁影视,rtp://239.81.0.128:4056
南宁新闻,rtp://239.81.0.241:4056
南宁新闻,rtp://239.81.0.126:4056
南宁公共,rtp://239.81.0.129:4056
南宁都市,rtp://239.81.0.127:4056
贺州综合HD,rtp://239.81.0.163:4056
钦州综合HD,rtp://239.81.0.164:4056
百色综合HD,rtp://239.81.0.150:4056
柳州新闻,rtp://239.81.0.134:4056
防城港综合HD,rtp://239.81.0.151:4056
北海新闻,rtp://239.81.0.136:4056
玉林新闻,rtp://239.81.0.138:4056
桂林新闻,rtp://239.81.0.135:4056
广西IPTV4,rtp://239.81.0.251:4056
广西IPTV5,rtp://239.81.0.205:4056
广西IPTV7,rtp://239.81.0.253:4056
广西IPTV8,rtp://239.81.0.208:4056
广西IPTV9,rtp://239.81.0.209:4056
广西IPTV影院,rtp://239.81.0.100:4056
广西IPTV12,rtp://239.81.0.124:4056
广西IPTV13,rtp://239.81.0.125:4056
