404: Not Found
港台频道2&爬虫更新,#genre#
TVB千禧经典台,https://test.zapi.us.kg/?id=tvb-classic
东森电影,https://test.zapi.us.kg/?id=ebc-movie
中视经典,http://37.27.111.214:8080/live/47/hls.m3u8
中视经典台,https://test.zapi.us.kg/?id=ctv-classic
八大戏剧,https://test.zapi.us.kg/?id=gtv-41
公视戏剧,http://37.27.111.214:8080/live/87/hls.m3u8
好莱坞电影,https://test.zapi.us.kg/?id=hollywood-movie
影剧,http://37.27.111.214:8080/live/88/hls.m3u8
影视2,http://37.27.111.214:8080/live/109/hls.m3u8
影视3,http://37.27.111.214:8080/live/111/hls.m3u8
影视,http://37.27.111.214:8080/live/108/hls.m3u8
影迷数位纪实台,http://37.27.111.214:8080/live/92/hls.m3u8
纬来戏剧,https://test.zapi.us.kg/?id=videoland-drama
重温经典,http://120.76.248.139/live/bfgd/4200000635.m3u8
龙华戏剧,http://37.27.111.214:8080/live/41/hls.m3u8
龙华电影台,http://37.27.111.214:8080/live/19/hls.m3u8
龙祥电影台,https://test.zapi.us.kg/?id=lstime
8TV,https://test.zapi.us.kg/?id=8tv
AXN,https://test.zapi.us.kg/?id=axn
DMAX,https://test.zapi.us.kg/?id=dmax
MTV,http://37.27.111.214:8080/live/25/hls.m3u8
Moonbug,https://test.zapi.us.kg/?id=moonbug
Movie,https://test.zapi.us.kg/?id=moviemovie
NowViu剧集台,https://test.zapi.us.kg/?id=now-viu-drama
Now华剧台,https://test.zapi.us.kg/?id=now-chinese-drama
TVBS台剧台,https://test.zapi.us.kg/?id=tvbs-taiju
TVBS欢乐台,http://37.27.111.214:8080/live/24/hls.m3u8
TVBS综艺台,https://test.zapi.us.kg/?id=tvbs-zongyi
TVB亚洲剧台,https://test.zapi.us.kg/?id=tvb-asia-drama
TVB华剧台,https://test.zapi.us.kg/?id=golden-chinese-drama
TVB无线新闻,http://live.cooltv.top/tv/tvb.php?id=0&hq
TVB粤语片台,https://test.zapi.us.kg/?id=tvb-yueyu
TVB翡翠台,https://test.zapi.us.kg/?id=golden-jade
三立台湾台,https://test.zapi.us.kg/?id=settv-taiwan
