港澳频道,#genre#
AMC電影,http://61.221.215.25:8800/hls/43/index.m3u8
三立戏剧台,http://61.221.215.25:8800/hls/41/index.m3u8
凤凰中文台,http://61.221.215.25:8800/hls/47/index.m3u8
八大戏剧,http://61.221.215.25:8800/hls/39/index.m3u8
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
八大综合,http://61.221.215.25:8800/hls/56/index.m3u8
大愛,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
番薯111,http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8
番薯111,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
纬来精彩台,http://61.221.215.25:8800/hls/48/index.m3u8
RTHK34*频道,https://news.cgtn.com/resource/live/document/cgtn-doc.m3u8
环球电视,http://live.cgtn.com/500/prog_index.m3u8
CNA新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u
CGNTV,http://live.cgtn.com/1000/prog_index.m3u8
FOX新闻,https://fox-foxnewsnow-samsungus.amagi.tv/playlist720p.m3u8
TVBS,http://61.221.215.25:8800/hls/9/index.m3u8
时尚FTV,http://80.94.54.42/fashiontv/stream/playlist.m3u8
RTHK33*频道,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream04/streamPlaylist.m3u8
半岛新闻,http://live-hls-web-aje.getaj.net/AJE/01.m3u8
