CCTV-1,rtp://239.3.1.129:8008
CCTV-2,rtp://239.3.1.60:8084
CCTV-3,rtp://239.3.1.172:8001
CCTV-4,rtp://239.3.1.105:8092
CCTV-4 欧洲,rtp://239.3.1.213:4220
CCTV-4 美洲,rtp://239.3.1.214:4220
CCTV-5,rtp://239.3.1.173:8001
CCTV5+,rtp://239.3.1.130:8004
CCTV-6,rtp://239.3.1.174:8001
CCTV-7,rtp://239.3.1.61:8104
CCTV-8,rtp://239.3.1.175:8001
CCTV-9,rtp://239.3.1.62:8112
CCTV-10,rtp://239.3.1.63:8116
CCTV-11,rtp://239.3.1.152:8120
CCTV-12,rtp://239.3.1.64:8124
CCTV-13,rtp://239.3.1.124:8128
CCTV-14,rtp://239.3.1.65:8132
CCTV-15,rtp://239.3.1.153:8136
CCTV-16,rtp://239.3.1.184:8001
CCTV-17,rtp://239.3.1.151:8144
湖南卫视,rtp://239.3.1.132:8012
浙江卫视,rtp://239.3.1.137:8036
江苏卫视,rtp://239.3.1.135:8028
东方卫视,rtp://239.3.1.136:8032
山东卫视,rtp://239.3.1.209:8052
安徽卫视,rtp://239.3.1.211:8064
湖北卫视,rtp://239.3.1.138:8044
东南卫视,rtp://239.3.1.156:8148
广东卫视,rtp://239.3.1.142:8048
辽宁卫视,rtp://239.3.1.210:8056
黑龙江卫视,rtp://239.3.1.133:8016
深圳卫视,rtp://239.3.1.134:8020
贵州卫视,rtp://239.3.1.149:8076
天津卫视,rtp://239.3.1.141:1234
河北卫视,rtp://239.3.1.148:8072
重庆卫视,rtp://239.3.1.122:8160
江西卫视,rtp://239.3.1.123:8164
吉林卫视,rtp://239.3.1.240:8172
北京卫视,rtp://239.3.1.241:8000
北京新闻,rtp://239.3.1.159:8000
北京文艺,rtp://239.3.1.242:8000
北京影视,rtp://239.3.1.158:8000
北京卡酷动画,rtp://239.3.1.189:8000
爱上4K,rtp://239.3.1.236:2000
IPTV4K超清,rtp://239.3.1.249:8001
IPTV淘精彩,rtp://239.3.1.178:8001
IPTV淘娱乐,rtp://239.3.1.100:8001
IPTV淘剧场,rtp://239.3.1.95:8001
IPTV淘电影,rtp://239.3.1.250:8001
IPTV萌宠TV,rtp://239.3.1.102:8001
IPTV淘Baby,rtp://239.3.1.238:8001


