4K乐享,rtp://239.93.0.43:5140
CHC家庭影院,rtp://239.93.42.6:5140
CHC影迷电影,rtp://239.93.42.5:5140
CHC动作电影,rtp://239.93.42.7:5140
IHOT爱悬疑, rtp://239.93.42.12:5140
IHOT爱怀旧, rtp://239.93.42.21:5140
IHOT爱经典, rtp://239.93.42.13:5140
IHOT爱青春, rtp://239.93.42.16:5140
IHOT爱谍战, rtp://239.93.42.14:5140
IHOT爱动漫, rtp://239.93.42.23:5140
IHOT爱科幻, rtp://239.93.42.10:5140
IHOT爱奇谈, rtp://239.93.42.22:5140
IHOT爱喜剧, rtp://239.93.42.9:5140
IHOT爱幼教, rtp://239.93.42.17:5140
IHOT爱院线, rtp://239.93.42.11:5140
IHOT爱赛车, rtp://239.93.42.20:5140
IHOT爱玩具, rtp://239.93.42.18:5140
IHOT爱电竞,rtp://239.93.42.19:5140
安徽卫视,rtp://239.93.1.106:5140
康巴卫视,rtp://239.93.0.41:5140
绚影4K,rtp://239.93.42.33:5140
中录动漫4K,rtp://239.93.1.188:5140
欢笑剧场4K,rtp://239.93.0.145:5140
百事通4K测试[5.1环绕声],rtp://239.93.42.75:5140
