CCTV1,rtp://225.1.1.212:5002?$TJ
CCTV1[5.1环绕声],rtp://225.1.1.120:5002?$TJ
CCTV2[5.1环绕声],rtp://225.1.1.133:5002?$TJ
CCTV3[5.1环绕声],rtp://225.1.1.158:5002?$TJ
CCTV4[5.1环绕声],rtp://225.1.1.150:5002?$TJ
CCTV5+[5.1环绕声],rtp://225.1.1.121:5002?$TJ
CCTV5[5.1环绕声],rtp://225.1.1.160:5002?$TJ
CCTV6[5.1环绕声],rtp://225.1.1.195:5002?$TJ
CCTV7[5.1环绕声],rtp://225.1.1.138:5002?$TJ
CCTV8[5.1环绕声],rtp://225.1.1.196:5002?$TJ
CCTV9[5.1环绕声],rtp://225.1.1.119:5002?$TJ
CCTV10[5.1环绕声],rtp://225.1.1.140:5002?$TJ
CCTV11,rtp://225.1.2.192:5002?$TJ
CCTV12[5.1环绕声],rtp://225.1.1.142:5002?$TJ
CCTV13[5.1环绕声],rtp://225.1.2.193:5002?$TJ
CCTV14[5.1环绕声],rtp://225.1.1.144:5002?$TJ
CCTV15,rtp://225.1.2.194:5002?$TJ
CCTV16[5.1环绕声],rtp://225.1.2.237:5002?$TJ
CCTV17[5.1环绕声],rtp://225.1.2.52:5002?$TJ
第一剧场,rtp://225.1.2.175:5002?$TJ
风云剧场,rtp://225.1.2.174:5002?$TJ
怀旧剧场,rtp://225.1.2.173:5002?$TJ
兵器科技,rtp://225.1.2.166:5002?$TJ
地理世界,rtp://225.1.2.171:5002?$TJ
女性时尚,rtp://225.1.2.172:5002?$TJ
文化精品,rtp://225.1.2.177:5002?$TJ
风云音乐,rtp://225.1.2.176:5002?$TJ
CHC动作电影,rtp://225.1.1.215:5002?$TJ
CHC家庭影院,rtp://225.1.1.213:5002?$TJ
CHC影迷电影,rtp://225.1.1.214:5002?$TJ


