广东卫视,rtp://239.77.0.166:5146
广东珠江,rtp://239.77.0.1:5146
广东珠江,rtp://239.77.0.114:5146
广东新闻,rtp://239.77.0.173:5146
广东少儿,rtp://239.77.0.250:5146
嘉佳卡通,rtp://239.77.0.179:5146
南方购物-精选,rtp://239.77.0.19:5146
现代教育,rtp://239.77.0.213:5146
广州新闻,rtp://239.253.43.72:5146
深圳卫视,rtp://239.77.1.148:5146
深圳卫视,rtp://239.77.0.92:5146
深圳都市,rtp://239.77.1.176:5146
东莞新闻综合,rtp://239.253.43.104:5146
中山综合,rtp://239.253.43.62:5146
潮州综合,rtp://239.253.43.70:5146
潮州民生,rtp://239.253.43.75:5146
徐闻综合,rtp://239.253.43.112:5146
CCTV-1,rtp://239.77.1.144:5146
CCTV-1,rtp://239.77.0.119:5146
CCTV-2,rtp://239.77.1.158:5146
CCTV-2,rtp://239.253.43.17:5146
CCTV-3,rtp://239.77.0.169:5146
CCTV-3,rtp://239.77.0.175:5146
CCTV-4,rtp://239.77.0.78:5146
CCTV-4,rtp://239.253.43.120:5146
CCTV-5,rtp://239.77.0.170:5146
CCTV-5,rtp://239.77.0.177:5146
CCTV-5+,rtp://239.77.0.87:5146
CCTV-5+,rtp://239.77.1.31:5146
CCTV-6,rtp://239.77.0.171:5146
CCTV-6,rtp://239.77.0.178:5146
CCTV-7,rtp://239.77.1.159:5146
CCTV-7,rtp://239.77.1.167:5146
CCTV-7,rtp://239.77.0.138:5146
CCTV-8,rtp://239.77.0.172:5146
CCTV-8,rtp://239.77.0.181:5146
CCTV-9,rtp://239.77.1.160:5146
CCTV-9,rtp://239.77.1.168:5146
CCTV-9,rtp://239.77.0.135:5146
CCTV-10,rtp://239.77.1.169:5146
CCTV-10,rtp://239.77.0.134:5146
CCTV-11,rtp://239.77.1.238:5146
CCTV-12,rtp://239.77.1.109:5146
CCTV-12,rtp://239.77.1.170:5146
CCTV-12,rtp://239.77.0.136:5146
CCTV-13,rtp://239.77.0.188:5146
CCTV-13,rtp://239.253.43.196:5146
CCTV-14,rtp://239.77.1.161:5146
CCTV-14,rtp://239.77.1.171:5146
CCTV-14,rtp://239.77.0.133:5146
CCTV-15,rtp://239.77.1.239:5146
CCTV-16,rtp://239.77.0.165:5146
CCTV-16,rtp://239.77.1.76:5146
CCTV-17,rtp://239.77.1.121:5146
CCTV-17,rtp://239.77.0.198:5146
湖南卫视,rtp://239.77.1.5:5146
湖南卫视,rtp://239.77.1.129:5146
湖南卫视,rtp://239.77.0.88:5146
湖南卫视,rtp://239.77.0.127:5146
浙江卫视,rtp://239.77.1.33:5146
浙江卫视,rtp://239.77.0.89:5146
江苏卫视,rtp://239.77.1.18:5146
江苏卫视,rtp://239.77.0.90:5146
江苏卫视,rtp://239.77.0.126:5146
东方卫视,rtp://239.77.1.156:5146
东方卫视,rtp://239.77.0.98:5146
安徽卫视,rtp://239.77.1.92:5146
安徽卫视,rtp://239.77.0.183:5146
北京卫视,rtp://239.77.1.4:5146
北京卫视,rtp://239.77.1.151:5146
天津卫视,rtp://239.77.1.182:5146
天津卫视,rtp://239.77.0.97:5146
天津卫视,rtp://239.77.0.131:5146
山东卫视,rtp://239.77.1.142:5146
山东卫视,rtp://239.77.1.153:5146
山东卫视,rtp://239.77.0.94:5146
江西卫视,rtp://239.77.1.219:5146
江西卫视,rtp://239.77.0.149:5146
湖北卫视,rtp://239.77.1.93:5146
湖北卫视,rtp://239.77.1.174:5146
湖北卫视,rtp://239.77.0.95:5146
湖北卫视,rtp://239.77.0.128:5146
辽宁卫视,rtp://239.77.1.103:5146
辽宁卫视,rtp://239.77.0.123:5146
辽宁卫视,rtp://239.77.0.161:5146
黑龙江卫视,rtp://239.77.1.6:5146
黑龙江卫视,rtp://239.77.0.93:5146
黑龙江卫视,rtp://239.77.0.124:5146
贵州卫视,rtp://239.77.1.221:5146
贵州卫视,rtp://239.77.0.230:5146
四川卫视,rtp://239.77.1.215:5146
四川卫视,rtp://239.77.0.159:5146
四川卫视,rtp://239.77.0.163:5146
河南卫视,rtp://239.77.1.229:5146
云南卫视,rtp://239.253.43.37:5146
重庆卫视,rtp://239.77.1.162:5146
重庆卫视,rtp://239.77.0.182:5146
河北卫视,rtp://239.77.1.214:5146
河北卫视,rtp://239.77.0.148:5146
东南卫视,rtp://239.77.1.104:5146
东南卫视,rtp://239.77.0.146:5146
广西卫视,rtp://239.253.43.36:5146
广西卫视,rtp://239.77.0.139:5146
吉林卫视,rtp://239.77.1.111:5146
吉林卫视,rtp://239.77.0.150:5146
海南卫视,rtp://239.253.43.35:5146
海南卫视,rtp://239.253.43.101:5146
甘肃卫视,rtp://239.77.0.189:5146
三沙卫视,rtp://239.253.43.113:5146
兵器科技,rtp://239.253.43.18:5146
兵器科技,rtp://239.253.43.9:5146
电视指南,rtp://239.253.43.19:5146
电视指南,rtp://239.253.43.10:5146
风云足球,rtp://239.253.43.20:5146
风云足球,rtp://239.253.43.14:5146
