CCTV1HD,rtp://239.49.8.19:9614?
CCTV2HD,rtp://239.49.8.50:9802?
CCTV3HD,rtp://239.49.8.74:8000?
CCTV4HD,rtp://239.49.8.51:9806?
CCTV5HD,rtp://239.49.8.75:8000?
CCTV5+,rtp://239.49.8.18:9610?
CCTV6HD,rtp://239.49.8.76:8000?
CCTV7HD,rtp://239.49.0.126:8000?
CCTV8HD,rtp://239.49.8.77:8000?
CCTV9HD,rtp://239.49.8.53:9814?
CCTV10HD,rtp://239.49.8.54:9818?
CCTV11HD,rtp://239.49.0.127:8000?
CCTV12HD,rtp://239.49.8.55:9822?
CCTV13HD,rtp://239.49.8.109:8000?
CCTV14HD,rtp://239.49.8.56:9826?
CCTV15HD,rtp://239.49.0.128:8000?
CCTV16HD,rtp://239.49.8.31:8000?
CCTV16 4K[5.1环绕],rtp://239.49.0.109:8000?
CCTV17HD,rtp://239.49.8.52:9810?
CCTV4K[5.1环绕],rtp://239.49.0.82:8000?
CCTV电视指南HD,rtp://239.49.8.84:8000?
第一剧场HD,rtp://239.49.8.94:8000?
风云剧场HD,rtp://239.49.8.89:8000?
风云音乐HD,rtp://239.49.8.92:8000?
