CCTV1,rtp://239.254.200.45:8008?$HEBEI
CCTV2,rtp://239.254.200.158:6000?$HEBEI
CCTV3,rtp://239.254.201.152:7205?$HEBEI
CCTV4,rtp://239.254.200.190:6307?$HEBEI
CCTV5+,rtp://239.254.200.46:8004?$HEBEI
CCTV5,rtp://239.254.201.153:7206?$HEBEI
CCTV6,rtp://239.254.201.154:7207?$HEBEI
CCTV7,rtp://239.254.200.159:6000?$HEBEI
CCTV8,rtp://239.254.201.155:7208?$HEBEI
CCTV9,rtp://239.254.200.59:8112?$HEBEI
CCTV10,rtp://239.254.200.160:6000?$HEBEI
CCTV11,rtp://239.254.201.123:8120?$HEBEI
CCTV12,rtp://239.254.200.161:6000?$HEBEI
CCTV13,rtp://239.254.200.9:8264?$HEBEI
CCTV14,rtp://239.254.200.162:6000?$HEBEI
CCTV15,rtp://239.254.201.124:8136?$HEBEI
CCTV17,rtp://239.254.201.120:8144?$HEBEI
风云剧场,rtp://239.254.201.219:7257?$HEBEI
欢笑剧场 4K,rtp://239.254.201.164:6355?$HEBEI
第一剧场,rtp://239.254.201.218:7258?$HEBEI
都市剧场,rtp://239.254.201.167:6360?$HEBEI
湖北卫视,rtp://239.254.200.164:6000?$HEBEI
湖南卫视,rtp://239.254.200.48:8012?$HEBEI
东南卫视,rtp://239.254.201.13:6291?$HEBEI
东方卫视,rtp://239.254.200.52:8032?$HEBEI
北京卫视,rtp://239.254.200.47:8024?$HEBEI
吉林卫视,rtp://239.254.201.15:6339?$HEBEI
四川卫视,rtp://239.254.200.202:6325?$HEBEI
天津卫视,rtp://239.254.200.54:1234?$HEBEI
安徽卫视,rtp://239.254.200.163:6000?$HEBEI
山东卫视,rtp://239.254.200.55:8052?$HEBEI
广东卫视,rtp://239.254.200.56:8048?$HEBEI
广西卫视,rtp://239.254.200.80:8300?$HEBEI
江苏卫视,rtp://239.254.200.51:8028?$HEBEI
江西卫视,rtp://239.254.201.12:6290?$HEBEI
河北卫视,rtp://239.254.200.174:6000?$HEBEI
河南卫视,rtp://239.254.201.16:7174?$HEBEI
浙江卫视,rtp://239.254.200.53:8036?$HEBEI
海南卫视,rtp://239.254.201.125:6288?$HEBEI
深圳卫视,rtp://239.254.200.50:8020?$HEBEI
贵州卫视,rtp://239.254.201.20:6315?$HEBEI
辽宁卫视,rtp://239.254.200.57:8056?$HEBEI
重庆卫视,rtp://239.254.200.203:6323?$HEBEI
黑龙江卫视,rtp://239.254.200.49:8016?$HEBEI
河北农民,rtp://239.254.200.23:6000?$HEBEI
河北少儿科教,rtp://239.254.200.21:6000?$HEBEI
河北影视,rtp://239.254.200.20:6000?$HEBEI
河北经济,rtp://239.254.200.18:6000?$HEBEI
河北都市,rtp://239.254.200.19:6000?$HEBEI
石家庄综合,rtp://239.254.200.157:6000?$HEBEI
石家庄生活,rtp://239.254.200.30:6000?$HEBEI
石家庄都市,rtp://239.254.200.31:6000?$HEBEI
石家庄娱乐,rtp://239.254.200.29:6000?$HEBEI
丰宁电视,rtp://239.254.200.5:5290?$HEBEI
临漳电视,rtp://239.254.201.73:5221?$HEBEI
井陉电视,rtp://239.254.201.215:6167?$HEBEI
井陉矿区电视,rtp://239.254.201.14:5175?$HEBEI
保定综合,rtp://239.254.200.144:6000?$HEBEI
元氏电视,rtp://239.254.200.191:5169?$HEBEI
兴隆电视,rtp://239.254.201.95:5295?$HEBEI
内丘电视,rtp://239.254.201.77:5380?$HEBEI
南宫电视,rtp://239.254.201.48:5371?$HEBEI
吴桥电视,rtp://239.254.201.138:5337?$HEBEI
唐县电视,rtp://239.254.201.41:5264?$HEBEI
唐山公共,rtp://239.254.200.169:6000?$HEBEI
唐山影视,rtp://239.254.200.168:6000?$HEBEI
唐山综合,rtp://239.254.200.166:6000?$HEBEI
唐山生活,rtp://239.254.200.167:6000?$HEBEI
安平电视,rtp://239.254.201.42:5348?$HEBEI
定州电视,rtp://239.254.201.74:6251?$HEBEI
大厂电视,rtp://239.254.201.71:5310?$HEBEI
张家口新闻综合,rtp://239.254.200.35:6000?$HEBEI
徐水电视,rtp://239.254.201.147:6260?$HEBEI
怀旧剧场,rtp://239.254.201.220:7256?$HEBEI
成安电视,rtp://239.254.201.143:6210?$HEBEI
承德公共,rtp://239.254.200.33:6000?$HEBEI
承德新闻综合,rtp://239.254.200.32:6000?$HEBEI
故城电视,rtp://239.254.201.126:5362?$HEBEI
康保电视,rtp://239.254.201.135:5270?$HEBEI
廊坊公共,rtp://239.254.200.184:6000?$HEBEI
廊坊新闻,rtp://239.254.200.183:6000?$HEBEI
晋州电视,rtp://239.254.201.127:5184?$HEBEI
景县电视,rtp://239.254.200.240:5350?$HEBEI
武安电视,rtp://239.254.201.6:5216?$HEBEI
枣强电视,rtp://239.254.201.136:5363?$HEBEI
柏乡电视,rtp://239.254.201.140:5383?$HEBEI
涉县电视,rtp://239.254.201.97:5222?$HEBEI
涞水电视,rtp://239.254.201.10:5250?$HEBEI
涞源电视,rtp://239.254.200.213:5260?$HEBEI
涿州电视,rtp://239.254.201.17:5261?$HEBEI
深州电视,rtp://239.254.201.46:5357?$HEBEI
深泽电视,rtp://239.254.201.108:5180?$HEBEI
清河电视,rtp://239.254.200.170:5366?$HEBEI
秦皇岛公共,rtp://239.254.200.40:6000?$HEBEI
秦皇岛影视,rtp://239.254.200.41:6000?$HEBEI
秦皇岛新闻综合,rtp://239.254.200.39:6000?$HEBEI
衡水公共,rtp://239.254.200.149:6000?$HEBEI
衡水新闻综合,rtp://239.254.200.147:6000?$HEBEI
遵化电视,rtp://239.254.201.146:5202?$HEBEI
邢台城市生活,rtp://239.254.200.152:6000?$HEBEI
邢台综合,rtp://239.254.200.150:6000?$HEBEI
邯郸公共,rtp://239.254.200.154:6000?$HEBEI
邯郸新闻综合,rtp://239.254.200.153:6000?$HEBEI
邯郸科技教育,rtp://239.254.200.155:6000?$HEBEI
邱县电视,rtp://239.254.201.129:6209?$HEBEI
隆化电视,rtp://239.254.201.142:5296?$HEBEI
雄县电视,rtp://239.254.201.94:6254?$HEBEI
阜平电视,rtp://239.254.201.40:5248?$HEBEI
高碑店电视,rtp://239.254.200.210:5254?$HEBEI
高邑电视,rtp://239.254.201.24:5170?$HEBEI
魏县电视,rtp://239.254.201.148:6211?$HEBEI
黄骅电视,rtp://239.254.201.36:5325?$HEBEI
饶阳电视,rtp://239.254.201.44:5353?$HEBEI
赵县电视,rtp://239.254.201.111:5183?$HEBEI
睛彩河北,rtp://239.254.200.27:6000?$HEBEI
滦南电视,rtp://239.254.201.22:5191?$HEBEI
玉田电视,rtp://239.254.201.28:5194?$HEBEI
崇礼电视,rtp://239.254.201.117:5267?$HEBEI
平泉电视,rtp://239.254.200.177:5286?$HEBEI
容城电视,rtp://239.254.201.102:6256?$HEBEI
文安电视,rtp://239.254.201.103:5314?$HEBEI
三河电视,rtp://239.254.201.113:5315?$HEBEI
风云足球,rtp://239.254.201.222:7251?$HEBEI
风云音乐,rtp://239.254.201.221:7259?$HEBEI
世界地理,rtp://239.254.201.226:7254?$HEBEI
东方财经,rtp://239.254.201.181:7214?$HEBEI
中华美食,rtp://239.254.201.189:7171?$HEBEI
兵器科技,rtp://239.254.201.225:7249?$HEBEI
动漫秀场,rtp://239.254.201.165:6358?$HEBEI
央视台球,rtp://239.254.201.171:7176?$HEBEI
女性时尚,rtp://239.254.201.228:7255?$HEBEI
文化精品,rtp://239.254.201.229:7260?$HEBEI
文物宝库,rtp://239.254.201.227:7230?$HEBEI
早期教育,rtp://239.254.201.230:7253?$HEBEI
梨园频道,rtp://239.254.201.231:7228?$HEBEI
武术世界,rtp://239.254.201.224:7229?$HEBEI
求索纪录,rtp://239.254.201.176:7221?$HEBEI
法治天地,rtp://239.254.201.183:7226?$HEBEI
游戏风云,rtp://239.254.201.163:6354?$HEBEI
生活时尚,rtp://239.254.201.166:6359?$HEBEI
纪实人文,rtp://239.254.200.58:8060?$HEBEI
茶频道,rtp://239.254.200.228:6258?$HEBEI
金色学堂,rtp://239.254.201.182:7227?$HEBEI
金鹰卡通,rtp://239.254.200.92:9252?$HEBEI
金鹰纪实,rtp://239.254.200.189:6293?$HEBEI
