
河南卫视4K,rtp://239.16.20.199:11990?$河南电信
河南乡村,rtp://239.16.10.181:2000?$河南电信
河南乡村,rtp://239.16.20.195:11950?$河南电信
河南公共,rtp://239.16.10.126:2000?$河南电信
河南公共,rtp://239.16.20.170:11700?$河南电信
河南戏曲,rtp://239.16.10.148:2000?$河南电信
河南新闻,rtp://239.16.10.124:2000?$河南电信
河南新闻,rtp://239.16.20.168:11680?$河南电信
河南梨园,rtp://239.16.20.171:11710?$河南电信
河南民生,rtp://239.16.10.121:2000?$河南电信
河南民生,rtp://239.16.20.165:11650?$河南电信
河南法治,rtp://239.16.10.122:2000?$河南电信
河南法治,rtp://239.16.20.166:11660?$河南电信
河南睛彩中原,rtp://239.16.10.78:2000?$河南电信
河南睛彩中原,rtp://239.16.20.122:11220?$河南电信
河南移动戏曲,rtp://239.16.10.76:2000?$河南电信
河南移动戏曲,rtp://239.16.20.120:11200?$河南电信
河南移动电视,rtp://239.16.10.79:2000?$河南电信
河南移动电视,rtp://239.16.20.204:12040?$河南电信
河南都市,rtp://239.16.10.120:2000?$河南电信
河南都市,rtp://239.16.20.164:11640?$河南电信
河南电视剧,rtp://239.16.10.123:2000?$河南电信
河南电视剧,rtp://239.16.20.167:11670?$河南电信
