CCTV第一剧场,rtp://239.69.1.74:10084
CCTV兵器科技,rtp://239.69.1.79:10114
CCTV世界地理,rtp://239.69.1.91:10186
CCTV央视台球,rtp://239.69.1.98:10224
CCTV16 4K,rtp://239.69.1.249:11136
CCTV5 4K,rtp://239.69.1.12:9712
湖北公共新闻,rtp://239.69.1.40:9880
湖北经视,rtp://239.69.1.41:9886
湖北综合,rtp://239.69.1.42:9892
湖北垄上,rtp://239.69.1.43:9898
湖北影视,rtp://239.69.1.204:10866
湖北生活,rtp://239.69.1.205:10872
湖北教育,rtp://239.69.1.206:10878
爱上4K,rtp://239.69.1.141:10482
CHC电影,rtp://239.69.1.241:11088
CHC动作电影,rtp://239.69.1.242:11094
CHC家庭影院,rtp://239.69.1.243:11100
武汉二台电视剧,rtp://239.69.1.146:10512
