CHC家庭影院,rtp://239.1.0.149:1025
CHC高清电影,rtp://239.1.0.150:1025
CHC动作电影,rtp://239.1.0.245:1025
第一剧场,rtp://239.1.1.59:1025
风云剧场,rtp://239.1.1.58:1025
风云音乐,rtp://239.1.1.60:1025
风云足球,rtp://239.1.1.53:1025
怀旧剧场,rtp://239.1.1.57:1025
女性时尚,rtp://239.1.1.62:1025
央视精品,rtp://239.1.1.61:1025
世界地理,rtp://239.1.1.56:1025
央视台球,rtp://239.1.1.55:1025
兵器科技,rtp://239.1.1.51:1025
电视指南,rtp://239.1.1.52:1025
央视高网,rtp://239.1.1.54:1025

湖南卫视,rtp://239.1.0.1:1025
湖南经视,rtp://239.1.0.2:1025
湖南都市,rtp://239.1.0.15:1025
湖南电视剧,rtp://239.1.0.17:1025
湖南电影,rtp://239.1.0.18:1025
湖南娱乐,rtp://239.1.0.14:1025
金鹰纪实,rtp://239.1.0.22:1025
湖南爱晚,rtp://239.1.0.16:1025
湖南国际,rtp://239.1.0.21:1025
金鹰卡通,rtp://239.1.0.19:1025








