
地方频道,#genre#
安平电视,http://106.119.250.95:8888/rtp/239.254.201.42:5348?$HEBEI
安平电视,http://111.227.207.66:4000/rtp/239.254.201.42:5348?$HEBEI
安平电视,http://27.190.83.186:7000/rtp/239.254.201.42:5348?$HEBEI
柏乡电视,http://106.119.250.95:8888/rtp/239.254.201.140:5383?$HEBEI
柏乡电视,http://111.227.207.66:4000/rtp/239.254.201.140:5383?$HEBEI
柏乡电视,http://27.190.83.186:7000/rtp/239.254.201.140:5383?$HEBEI
保定综合,http://106.119.250.95:8888/rtp/239.254.200.144:6000?$HEBEI
保定综合,http://111.227.207.66:4000/rtp/239.254.200.144:6000?$HEBEI
保定综合,http://27.190.83.186:7000/rtp/239.254.200.144:6000?$HEBEI
成安电视,http://106.119.250.95:8888/rtp/239.254.201.143:6210?$HEBEI
成安电视,http://111.227.207.66:4000/rtp/239.254.201.143:6210?$HEBEI
成安电视,http://27.190.83.186:7000/rtp/239.254.201.143:6210?$HEBEI
承德公共,http://106.119.250.95:8888/rtp/239.254.200.33:6000?$HEBEI
承德公共,http://111.227.207.66:4000/rtp/239.254.200.33:6000?$HEBEI
承德公共,http://27.190.83.186:7000/rtp/239.254.200.33:6000?$HEBEI
承德新闻综合,http://106.119.250.95:8888/rtp/239.254.200.32:6000?$HEBEI
承德新闻综合,http://111.227.207.66:4000/rtp/239.254.200.32:6000?$HEBEI
承德新闻综合,http://27.190.83.186:7000/rtp/239.254.200.32:6000?$HEBEI
崇礼电视,http://106.119.250.95:8888/rtp/239.254.201.117:5267?$HEBEI
崇礼电视,http://111.227.207.66:4000/rtp/239.254.201.117:5267?$HEBEI
崇礼电视,http://27.190.83.186:7000/rtp/239.254.201.117:5267?$HEBEI
大厂电视,http://106.119.250.95:8888/rtp/239.254.201.71:5310?$HEBEI
大厂电视,http://111.227.207.66:4000/rtp/239.254.201.71:5310?$HEBEI
大厂电视,http://27.190.83.186:7000/rtp/239.254.201.71:5310?$HEBEI
定州电视,http://106.119.250.95:8888/rtp/239.254.201.74:6251?$HEBEI
定州电视,http://111.227.207.66:4000/rtp/239.254.201.74:6251?$HEBEI
定州电视,http://27.190.83.186:7000/rtp/239.254.201.74:6251?$HEBEI
丰宁电视,http://106.119.250.95:8888/rtp/239.254.200.5:5290?$HEBEI
丰宁电视,http://111.227.207.66:4000/rtp/239.254.200.5:5290?$HEBEI
丰宁电视,http://27.190.83.186:7000/rtp/239.254.200.5:5290?$HEBEI
阜平电视,http://106.119.250.95:8888/rtp/239.254.201.40:5248?$HEBEI
阜平电视,http://111.227.207.66:4000/rtp/239.254.201.40:5248?$HEBEI
阜平电视,http://27.190.83.186:7000/rtp/239.254.201.40:5248?$HEBEI
高碑店电视,http://106.119.250.95:8888/rtp/239.254.200.210:5254?$HEBEI
高碑店电视,http://111.227.207.66:4000/rtp/239.254.200.210:5254?$HEBEI
高碑店电视,http://27.190.83.186:7000/rtp/239.254.200.210:5254?$HEBEI
高邑电视,http://106.119.250.95:8888/rtp/239.254.201.24:5170?$HEBEI
高邑电视,http://111.227.207.66:4000/rtp/239.254.201.24:5170?$HEBEI
高邑电视,http://27.190.83.186:7000/rtp/239.254.201.24:5170?$HEBEI
故城电视,http://106.119.250.95:8888/rtp/239.254.201.126:5362?$HEBEI
故城电视,http://111.227.207.66:4000/rtp/239.254.201.126:5362?$HEBEI
