央视频道,#genre#
CCTV1,http://182.122.74.108:8089/hls/1/index.m3u8
CCTV3,http://123.183.78.18:808/hls/75/index.m3u8
CCTV4,http://123.183.78.18:808/hls/4/index.m3u8
CCTV4,http://182.122.74.108:8089/hls/4/index.m3u8
CCTV4,http://110.241.191.135:808/hls/4/index.m3u8
CCTV5,http://123.183.78.18:808/hls/78/index.m3u8
CCTV6,http://123.183.78.18:808/hls/76/index.m3u8
CCTV7,http://182.122.74.108:8089/hls/7/index.m3u8
CCTV7,http://123.183.78.18:808/hls/7/index.m3u8
CCTV8,http://123.183.78.18:808/hls/77/index.m3u8
CCTV9,http://123.183.78.18:808/hls/9/index.m3u8
CCTV10,http://123.183.78.18:808/hls/10/index.m3u8
CCTV11,http://123.183.78.18:808/hls/11/index.m3u8
CCTV12,http://123.183.78.18:808/hls/12/index.m3u8
CCTV13,http://123.183.78.18:808/hls/13/index.m3u8
CCTV14,http://123.183.78.18:808/hls/14/index.m3u8
CCTV15,http://123.183.78.18:808/hls/15/index.m3u8
CCTV15,http://182.122.74.108:8089/hls/15/index.m3u8
CCTV17,http://123.183.78.18:808/hls/93/index.m3u8
怀旧剧场,http://110.241.191.135:808/hls/56/index.m3u8
风云剧场,http://110.241.191.135:808/hls/57/index.m3u8
卫视频道,#genre#
上海卫视,http://123.183.78.18:808/hls/42/index.m3u8
东南卫视,http://123.183.78.18:808/hls/44/index.m3u8
云南卫视,http://123.183.78.18:808/hls/35/index.m3u8
云南卫视,http://182.122.74.108:8089/hls/43/index.m3u8
内蒙古卫视,http://123.183.78.18:808/hls/50/index.m3u8
北京卫视,http://123.183.78.18:808/hls/31/index.m3u8
吉林卫视,http://123.183.78.18:808/hls/47/index.m3u8
四川卫视,http://123.183.78.18:808/hls/37/index.m3u8
四川卫视,http://110.241.191.135:808/hls/31/index.m3u8
四川卫视,http://182.122.74.108:8089/hls/41/index.m3u8
宁夏卫视,http://123.183.78.18:808/hls/53/index.m3u8
安徽卫视,http://123.183.78.18:808/hls/30/index.m3u8
山东卫视,http://123.183.78.18:808/hls/34/index.m3u8
山西卫视,http://123.183.78.18:808/hls/49/index.m3u8
广东卫视,http://123.183.78.18:808/hls/45/index.m3u8
广东卫视,http://182.122.74.108:8089/hls/48/index.m3u8
广西卫视,http://123.183.78.18:808/hls/46/index.m3u8
新疆卫视,http://123.183.78.18:808/hls/55/index.m3u8
江苏卫视,http://123.183.78.18:808/hls/29/index.m3u8
江西卫视,http://123.183.78.18:808/hls/38/index.m3u8
河北卫视,http://123.183.78.18:808/hls/16/index.m3u8
河南卫视,http://123.183.78.18:808/hls/36/index.m3u8
浙江卫视,http://123.183.78.18:808/hls/28/index.m3u8
深圳卫视,http://123.183.78.18:808/hls/40/index.m3u8
深圳卫视,http://182.122.74.108:8089/hls/38/index.m3u8
湖北卫视,http://123.183.78.18:808/hls/41/index.m3u8
湖南卫视,http://123.183.78.18:808/hls/27/index.m3u8
甘肃卫视,http://123.183.78.18:808/hls/56/index.m3u8
西藏卫视,http://123.183.78.18:808/hls/54/index.m3u8
贵州卫视,http://110.241.191.135:808/hls/49/index.m3u8
辽宁卫视,http://123.183.78.18:808/hls/33/index.m3u8
辽宁卫视,http://182.122.74.108:8089/hls/45/index.m3u8
重庆卫视,http://123.183.78.18:808/hls/43/index.m3u8
陕西卫视,http://123.183.78.18:808/hls/48/index.m3u8
青海卫视,http://123.183.78.18:808/hls/51/index.m3u8
黑龙江卫视,http://123.183.78.18:808/hls/79/index.m3u8
省市频道,#genre#
河北公共,http://123.183.78.18:808/hls/21/index.m3u8
河北农民,http://123.183.78.18:808/hls/22/index.m3u8
河北少儿,http://123.183.78.18:808/hls/20/index.m3u8
河北影视,http://123.183.78.18:808/hls/19/index.m3u8
少儿动漫,#genre#
金鹰卡通,http://123.183.78.18:808/hls/58/index.m3u8
金鹰卡通,http://110.241.191.135:808/hls/50/index.m3u8
港澳频道,#genre#
其他,#genre#
北京纪实,http://123.183.78.18:808/hls/86/index.m3u8
卡酷少儿,http://123.183.78.18:808/hls/57/index.m3u8
国防军事,http://123.183.78.18:808/hls/88/index.m3u8
安新电视,http://123.183.78.18:808/hls/65/index.m3u8
梨园,http://123.183.78.18:808/hls/89/index.m3u8
石家庄新闻综合,http://123.183.78.18:808/hls/23/index.m3u8
金鹰纪实,http://123.183.78.18:808/hls/87/index.m3u8
