
央视频道,#genre#
CCTV1,http://61.139.115.66:7000/rtp/239.93.0.184:5140?$SC
CCTV1,http://171.214.202.192:4000/rtp/239.93.0.184:5140?$SC
CCTV1,http://118.112.192.137:4022/rtp/239.93.0.184:5140?$SC
CCTV1,http://183.7.132.39:8088/rtp/239.77.0.129:5146?$GD
CCTV1,http://183.7.132.39:8088/rtp/239.77.0.86:5146?$GD
CCTV1,http://183.7.132.39:8088/rtp/239.77.0.119:5146?$GD
CCTV1,http://183.7.132.39:8088/rtp/239.77.1.144:5146?$GD
CCTV1,http://183.7.132.39:8088/rtp/239.77.1.17:5146?$GD
CCTV1,http://61.144.102.250:8090/rtp/239.77.0.129:5146?$GD
CCTV1,http://61.144.102.250:8090/rtp/239.77.0.86:5146?$GD
CCTV1,http://61.144.102.250:8090/rtp/239.77.0.119:5146?$GD
CCTV1,http://61.144.102.250:8090/rtp/239.77.1.144:5146?$GD
CCTV1,http://61.144.102.250:8090/rtp/239.77.1.17:5146?$GD
CCTV1,http://119.131.240.166:8000/rtp/239.77.0.129:5146?$GD
CCTV1,http://119.131.240.166:8000/rtp/239.77.0.86:5146?$GD
CCTV1,http://119.131.240.166:8000/rtp/239.77.0.119:5146?$GD
CCTV1,http://119.131.240.166:8000/rtp/239.77.1.144:5146?$GD
CCTV1,http://119.131.240.166:8000/rtp/239.77.1.17:5146?$GD
CCTV1,http://60.26.2.30:7000/rtp/225.1.1.212:5002?$TJ
CCTV1,http://111.165.218.66:8000/rtp/225.1.1.212:5002?$TJ
CCTV1,http://221.196.68.105:8888/rtp/225.1.1.212:5002?$TJ
CCTV1,http://125.37.57.153:8686/rtp/225.1.1.212:5002?$TJ
CCTV1,http://218.67.186.230:8888/rtp/225.1.1.212:5002?$TJ
CCTV1,http://171.8.238.120:8800/rtp/239.16.10.1:2000
CCTV1,http://171.8.238.120:8800/rtp/239.16.20.1:10010
CCTV1,http://111.227.207.66:4000/rtp/239.254.200.45:8008?$HEBEI
CCTV1,http://106.119.250.95:8888/rtp/239.254.200.45:8008?$HEBEI
CCTV2,http://61.139.115.66:7000/rtp/239.93.1.23:6000?$SC
CCTV2,http://171.214.202.192:4000/rtp/239.93.1.23:6000?$SC
CCTV2,http://118.112.192.137:4022/rtp/239.93.1.23:6000?$SC
CCTV2,http://183.7.132.39:8088/rtp/239.77.1.158:5146?$GD
CCTV2,http://183.7.132.39:8088/rtp/239.77.0.137:5146?$GD
CCTV2,http://61.144.102.250:8090/rtp/239.77.1.158:5146?$GD
CCTV2,http://61.144.102.250:8090/rtp/239.77.0.137:5146?$GD
CCTV2,http://119.131.240.166:8000/rtp/239.77.1.158:5146?$GD
CCTV2,http://119.131.240.166:8000/rtp/239.77.0.137:5146?$GD
CCTV2,http://171.8.238.120:8800/rtp/239.16.10.127:2000
CCTV2,http://171.8.238.120:8800/rtp/239.16.20.2:10020
CCTV2,http://111.227.207.66:4000/rtp/239.254.200.158:6000?$HEBEI
CCTV2,http://106.119.250.95:8888/rtp/239.254.200.158:6000?$HEBEI
CCTV3,http://61.139.115.66:7000/rtp/239.93.1.11:2223?$SC
CCTV3,http://171.214.202.192:4000/rtp/239.93.1.11:2223?$SC
CCTV3,http://118.112.192.137:4022/rtp/239.93.1.11:2223?$SC
CCTV3,http://183.7.132.39:8088/rtp/239.77.0.169:5146?$GD
CCTV3,http://61.144.102.250:8090/rtp/239.77.0.169:5146?$GD
CCTV3,http://119.131.240.166:8000/rtp/239.77.0.169:5146?$GD
CCTV3,http://171.8.238.120:8800/rtp/239.16.10.2:2000
CCTV3,http://171.8.238.120:8800/rtp/239.16.20.3:10030
CCTV3,http://111.227.207.66:4000/rtp/239.254.201.152:7205?$HEBEI
CCTV3,http://106.119.250.95:8888/rtp/239.254.201.152:7205?$HEBEI
CCTV4,http://61.139.115.66:7000/rtp/239.93.1.105:5140?$SC
CCTV 4K,http://61.139.115.66:7000/rtp/239.93.42.42:5140??$SC
CCTV4,http://171.214.202.192:4000/rtp/239.93.1.105:5140?$SC
CCTV 4K,http://171.214.202.192:4000/rtp/239.93.42.42:5140??$SC
CCTV4,http://118.112.192.137:4022/rtp/239.93.1.105:5140?$SC
CCTV 4K,http://118.112.192.137:4022/rtp/239.93.42.42:5140??$SC
CCTV 4K50p,http://183.7.132.39:8088/rtp/239.77.0.174:5146?$GD
CCTV 4K,http://183.7.132.39:8088/rtp/239.77.0.194:5146?$GD
CCTV 4K,http://183.7.132.39:8088/rtp/239.77.1.180:5146?$GD
