河南电信,#genre#
央视频道,#genre#
CCTV1,http://171.8.169.124:8800/udp/239.16.10.1:2000?$henan
CCTV1,http://171.8.169.124:8800/udp/239.16.20.1:10010?$henan
CCTV2,http://171.8.169.124:8800/udp/239.16.10.127:2000?$henan
CCTV2,http://171.8.169.124:8800/udp/239.16.20.2:10020?$henan
CCTV3,http://171.8.169.124:8800/udp/239.16.10.2:2000?$henan
CCTV3,http://171.8.169.124:8800/udp/239.16.20.3:10030?$henan
CCTV4,http://171.8.169.124:8800/udp/239.16.10.128:2000?$henan
CCTV4,http://171.8.169.124:8800/udp/239.16.20.4:10040?$henan
CCTV5+,http://171.8.169.124:8800/udp/239.16.10.3:2000?$henan
CCTV5+,http://171.8.169.124:8800/udp/239.16.20.5:10050?$henan
CCTV5,http://171.8.169.124:8800/udp/239.16.10.132:2000?$henan
CCTV5,http://171.8.169.124:8800/udp/239.16.20.53:10530?$henan
CCTV6,http://171.8.169.124:8800/udp/239.16.10.101:2000?$henan
CCTV6,http://171.8.169.124:8800/udp/239.16.20.6:10060?$henan
CCTV7,http://171.8.169.124:8800/udp/239.16.10.130:2000?$henan
CCTV7,http://171.8.169.124:8800/udp/239.16.20.51:10510?$henan
CCTV8,http://171.8.169.124:8800/udp/239.16.10.102:2000?$henan
CCTV8,http://171.8.169.124:8800/udp/239.16.20.8:10080?$henan
CCTV9,http://171.8.169.124:8800/udp/239.16.10.103:2000?$henan
CCTV9,http://171.8.169.124:8800/udp/239.16.20.9:10090?$henan
CCTV10,http://171.8.169.124:8800/udp/239.16.10.108:2000?$henan
CCTV10,http://171.8.169.124:8800/udp/239.16.20.10:10100?$henan
CCTV11,http://171.8.169.124:8800/udp/239.16.10.109:2000?$henan
CCTV11,http://171.8.169.124:8800/udp/239.16.20.11:10110?$henan
CCTV12,http://171.8.169.124:8800/udp/239.16.10.110:2000?$henan
CCTV12,http://171.8.169.124:8800/udp/239.16.20.12:10120?$henan
CCTV13,http://171.8.169.124:8800/udp/239.16.10.111:2000?$henan
CCTV13,http://171.8.169.124:8800/udp/239.16.20.13:10130?$henan
CCTV14,http://171.8.169.124:8800/udp/239.16.10.112:2000?$henan
CCTV14,http://171.8.169.124:8800/udp/239.16.20.14:10140?$henan
CCTV15,http://171.8.169.124:8800/udp/239.16.10.113:2000?$henan
CCTV15,http://171.8.169.124:8800/udp/239.16.20.15:10150?$henan
CCTV17,http://171.8.169.124:8800/udp/239.16.10.129:2000?$henan
CCTV17,http://171.8.169.124:8800/udp/239.16.20.7:10070?$henan
金鹰卡通,http://171.8.169.124:8800/udp/239.16.10.115:2000?$henan
金鹰卡通,http://171.8.169.124:8800/udp/239.16.20.104:11040?$henan
SiTV频道,#genre#
SiTV游戏风云,http://171.8.169.124:8800/udp/239.16.20.112:11120?$henan
SiTV欢笑剧场,http://171.8.169.124:8800/udp/239.16.20.39:10390?$henan
SiTV都市剧场,http://171.8.169.124:8800/udp/239.16.10.232:2000?$henan
SiTV都市剧场,http://171.8.169.124:8800/udp/239.16.20.38:10380?$henan
SiTV金色学堂,http://171.8.169.124:8800/udp/239.16.20.115:11150?$henan
﻿SiTV乐游,http://171.8.169.124:8800/udp/239.16.20.111:11110?$henan
SiTV动漫秀场,http://171.8.169.124:8800/udp/239.16.10.234:2000?$henan
SiTV动漫秀场,http://171.8.169.124:8800/udp/239.16.20.40:10400?$henan
SiTV极速汽车,http://171.8.169.124:8800/udp/239.16.20.113:11130?$henan
SiTV法治天地,http://171.8.169.124:8800/udp/239.16.20.156:11560?$henan
SiTV生活时尚,http://171.8.169.124:8800/udp/239.16.20.114:11140?$henan
SiTV东方财经,http://171.8.169.124:8800/udp/239.16.10.235:2000?$henan
SiTV东方财经,http://171.8.169.124:8800/udp/239.16.20.64:10640?$henan
卫视频道,#genre#
上海卫视,http://171.8.169.124:8800/udp/239.16.10.7:2000?$henan
上海卫视,http://171.8.169.124:8800/udp/239.16.20.73:10730?$henan
东南卫视,http://171.8.169.124:8800/udp/239.16.10.16:2000?$henan
东南卫视,http://171.8.169.124:8800/udp/239.16.20.82:10820?$henan
云南卫视,http://171.8.169.124:8800/udp/239.16.10.19:2000?$henan
云南卫视,http://171.8.169.124:8800/udp/239.16.20.85:10850?$henan
北京卫视,http://171.8.169.124:8800/udp/239.16.10.10:2000?$henan
北京卫视,http://171.8.169.124:8800/udp/239.16.20.76:10760?$henan
吉林卫视,http://171.8.169.124:8800/udp/239.16.10.28:2000?$henan
