港澳频道,#genre#
翡翠台,http://119.125.104.198:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
龙祥电影,http://119.125.104.198:9901/tsfile/live/1043_1.m3u8?key=txiptv&playlive=1&authid=0
明珠,http://119.125.104.198:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0

影视频道,#genre#
第一剧场,http://113.118.13.150:808/hls/98/index.m3u8
动作电影,http://119.125.104.198:9901/tsfile/live/1048_1.m3u8?key=txiptv&playlive=1&authid=0
风云剧场,http://113.118.13.150:808/hls/95/index.m3u8
怀旧剧场,http://113.118.13.150:808/hls/92/index.m3u8
家庭电影,http://119.125.104.198:9901/tsfile/live/1047_1.m3u8?key=txiptv&playlive=1&authid=0
每日影院,http://119.125.104.198:9901/tsfile/live/1046_1.m3u8?key=txiptv&playlive=1&authid=0
热播剧场,http://119.125.104.198:9901/tsfile/live/1092_1.m3u8?key=txiptv&playlive=1&authid=0
影迷电影,http://119.125.104.198:9901/tsfile/live/1049_1.m3u8?key=txiptv&playlive=1&authid=0
少儿频道,#genre#
广东少儿,http://113.110.72.51:8090/hls/111/index.m3u8
广东少儿,http://113.118.13.150:808/hls/175/index.m3u8
佳嘉卡通,http://113.118.13.150:808/hls/8/index.m3u8
佳嘉卡通,http://119.125.104.198:9901/tsfile/live/1045_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://113.118.13.150:808/hls/69/index.m3u8
金鹰卡通,http://125.93.74.27:9002/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
卡酷少儿,http://125.93.74.27:9002/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
深圳少儿,http://113.118.13.150:808/hls/157/index.m3u8
省市频道,#genre#
广东公共,http://113.110.72.51:8090/hls/107/index.m3u8
广东公共,http://119.125.104.198:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
广东经济科教,http://113.110.72.51:8090/hls/129/index.m3u8
广东民生,http://113.118.13.150:808/hls/18/index.m3u8
广东体育,http://113.110.72.51:8090/hls/108/index.m3u8
广东体育,http://113.118.13.150:808/hls/2/index.m3u8
广东体育,http://119.125.104.198:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://119.125.104.198:9901/tsfile/live/1122_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://125.93.74.27:9002/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://14.155.184.32:8888/hls/26/index.m3u8
广东新闻,http://113.110.72.51:8090/hls/106/index.m3u8
广东新闻,http://113.118.13.150:808/hls/5/index.m3u8
广东新闻,http://119.125.104.198:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
广东新闻,http://125.93.74.27:9002/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
广东移动,http://113.118.13.150:808/hls/14/index.m3u8
广东影视,http://113.110.72.51:8090/hls/110/index.m3u8
广东影视,http://113.118.13.150:808/hls/6/index.m3u8
广东影视,http://125.93.74.27:9002/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
广东珠江,http://113.110.72.51:8090/hls/105/index.m3u8
广东珠江,http://113.118.13.150:808/hls/83/index.m3u8
广东珠江,http://119.125.104.198:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
广东珠江,http://61.141.202.118:9901/tsfile/live/0125_3.m3u8?key=txiptv&playlive=0&authid=0
广东综艺4k,http://113.118.13.150:808/hls/9/index.m3u8
